symptoms,predicted_condition,followup_questions
"low_energy, sleep_disturbance, difficulty_concentrating, changes_in_weight, low_mood",Depression,"['On a scale of 1 to 10, how severe is your difficulty concentrating?', 'Do you notice changes in weight getting worse over time?', 'Does anything help relieve your sleep disturbance?', 'On a scale of 1 to 10, how severe is your low mood?', 'Is low energy interfering with your relationships or work?']"
"difficulty_concentrating, loss_of_interest, sleep_disturbance, changes_in_weight, low_energy",Depression,"['Does low energy affect your daily functioning?', 'Have you talked to anyone about your sleep disturbance?', 'Is there a specific event that triggered your difficulty concentrating?', 'On a scale of 1 to 10, how severe is your changes in weight?', 'How long have you experienced loss of interest?']"
"changes_in_weight, low_energy, difficulty_concentrating, low_mood, loss_of_interest",Depression,"['On a scale of 1 to 10, how severe is your low mood?', 'Have you talked to anyone about your difficulty concentrating?', 'Is low energy interfering with your relationships or work?', 'Does anything help relieve your loss of interest?', 'Have you had professional help for changes in weight before?']"
"difficulty_concentrating, loss_of_interest, low_energy, sleep_disturbance, low_mood, changes_in_weight",Depression,"['On a scale of 1 to 10, how severe is your changes in weight?', 'On a scale of 1 to 10, how severe is your loss of interest?', 'How do you usually cope with low energy?', 'Do you notice difficulty concentrating getting worse over time?', 'Does anything help relieve your low mood?']"
"sleep_disturbance, loss_of_interest, changes_in_weight, difficulty_concentrating",Depression,"['Does difficulty concentrating affect your daily functioning?', 'Have you had professional help for loss of interest before?', 'How long have you experienced sleep disturbance?', 'Do you notice changes in weight getting worse over time?']"
"emotional_instability, extreme_sensitivity_to_criticism, impulsive_behaviors, intense_fear_of_abandonment",Borderline Personality Disorder,"['Have you had professional help for emotional instability before?', 'Have you talked to anyone about your impulsive behaviors?', 'Does anything help relieve your intense fear of abandonment?', 'Does extreme sensitivity to criticism affect your daily functioning?']"
"extreme_sensitivity_to_criticism, impulsive_behaviors, emotional_instability, unstable_interpersonal_relationships, intense_anger, difficulty_controlling_anger",Borderline Personality Disorder,"['Does anything help relieve your unstable interpersonal relationships?', 'On a scale of 1 to 10, how severe is your impulsive behaviors?', 'On a scale of 1 to 10, how severe is your intense anger?', 'Do you notice emotional instability getting worse over time?', 'How do you usually cope with extreme sensitivity to criticism?']"
"intense_anger, extreme_sensitivity_to_criticism, unstable_interpersonal_relationships, impulsive_behaviors",Borderline Personality Disorder,"['Have you talked to anyone about your extreme sensitivity to criticism?', 'Have you had professional help for impulsive behaviors before?', 'Have you talked to anyone about your intense anger?', 'Have you had professional help for unstable interpersonal relationships before?']"
"emotional_instability, difficulty_controlling_anger, impulsive_behaviors, unstable_interpersonal_relationships",Borderline Personality Disorder,"['How long have you experienced impulsive behaviors?', 'On a scale of 1 to 10, how severe is your emotional instability?', 'Is difficulty controlling anger interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your unstable interpersonal relationships?']"
"intense_fear_of_abandonment, difficulty_controlling_anger, emotional_instability, impulsive_behaviors",Borderline Personality Disorder,"['On a scale of 1 to 10, how severe is your emotional instability?', 'Is impulsive behaviors interfering with your relationships or work?', 'Is difficulty controlling anger interfering with your relationships or work?', 'Have you had professional help for intense fear of abandonment before?']"
"fear_of_gaining_weight, significant_weight_loss, change_body_image, mood_changes, vomiting",Eating Disorder,"['Do you notice change body image getting worse over time?', 'Have you had professional help for fear of gaining weight before?', 'Does anything help relieve your mood changes?', 'Is vomiting interfering with your relationships or work?', 'How do you usually cope with significant weight loss?']"
"change_body_image, significant_weight_loss, mood_changes, vomiting, fear_of_gaining_weight, eating_large_amounts_of_food",Eating Disorder,"['Do you notice vomiting getting worse over time?', 'Do you notice eating large amounts of food getting worse over time?', 'How long have you experienced change body image?', 'On a scale of 1 to 10, how severe is your fear of gaining weight?', 'Do you notice mood changes getting worse over time?']"
"vomiting, eating_large_amounts_of_food, change_body_image, fear_of_gaining_weight, mood_changes, significant_weight_loss",Eating Disorder,"['Is there a specific event that triggered your vomiting?', 'Is there a specific event that triggered your eating large amounts of food?', 'On a scale of 1 to 10, how severe is your fear of gaining weight?', 'How do you usually cope with change body image?', 'Is mood changes interfering with your relationships or work?']"
"significant_weight_loss, change_body_image, vomiting, fear_of_gaining_weight",Eating Disorder,"['Do you notice change body image getting worse over time?', 'Have you had professional help for significant weight loss before?', 'Have you talked to anyone about your vomiting?', 'On a scale of 1 to 10, how severe is your fear of gaining weight?']"
"eating_large_amounts_of_food, change_body_image, significant_weight_loss, mood_changes",Eating Disorder,"['Is there a specific event that triggered your change body image?', 'How long have you experienced significant weight loss?', 'Have you had professional help for eating large amounts of food before?', 'How do you usually cope with mood changes?']"
"fatigue, feeling_of_worthless, appetite_change, diminished_ability_to_think, retardation, loss_of_interest",Major Depressive Disorder,"['Does anything help relieve your diminished ability to think?', 'Does anything help relieve your loss of interest?', 'How do you usually cope with appetite change?', 'Have you had professional help for fatigue before?', 'How long have you experienced retardation?']"
