Symptoms,similar_one,similar_two,similar_three,similar_four,similar_five,similar_six,similar_seven,similar_eight,similar_nine,similar_ten
low_mood,feeling_down,sadness,depressed,feeling_sad,gloomy,hopelessness,downhearted,unhappy,emotional_numbness,feeling_misreable
loss_of_interest,don't_enjoy_things_anymore,anhedonia,nothing_excites_me,don't_care_about_anything,l've_stopped_doing_the_things_i_love,no_motivation_to_do_anything,not_interested_in_hobbies_anymore,everthing_feels_pointless,I'm_not_into_anything_these_days,can't_find_joy_in_anything
low_energy,feel_drained,no_energy_at_all,always_tired,exhausted,feeling_inactive,lack_of_motivation_to_do_anything,worn_out,too_tired_to_move,feeling_burned_out,can't_get_out_of_bed
sleep_disturbance,can't_sleep_at_night,waking_up_multiple_times,having_trouble_falling_asleep,sleep_is_very_restless,wake_up_too_early,not_getting_enough_sleep,sleep_feels_broken,insomnia_issues,lie_awake_for_hours,sleep_all_over_the_place
changes_in_weight,gained_a_lot_of_weight,sudden_weight_loss,weight_keeps_changing,unexplained_weight_gain,losing_weight_without_trying,fluctuating_weight,can't_control_my_weight,rapid_weight_changes,gaining_weight_fast,clothes_don't_fit
difficulty_concentrating,can't_focus_on_anything,mind_keeps_wandering,hard_to_concentrate,get_distracted_easily,can't_stay_focused,attention_span_is_really_short,keep_zoning_out,lose_track_of_what_i'm_doing,hard_to_stay_on_task,forget_what_i_was_just_thinking_about
feeling_of_worthless,feel_like_i'm_not_good_enough,don't_matter_to_anyone,feel_useless,feel_burden_to_others,have_no_value,failure,hate_myself,feel_like_i_can't_do_anything_right,don't_see_my_worth,feel_completely_unimportant
irritability,get_annoyed_easliy,everything_makes_me_angry,lose_my_temper_quickly,feel_on_edge_all_the_time,little_things_really_bother_me,constantly_irritated,people_are_getting_on_my_nerves,snap_at_others_without_meaning_to,can't_control_my_anger,feel_agitated_most_of_the_time
thoughts_of_death,think_about_dying_a_lot,sometimes_i_wish_i_weren't_here,keep_having_thoughts_about_death,wonder_what_it_would_be_like_if_i_died,life_doesn't_feel_worth_living,feel_like_giving_up,don't_care_if_i_live_or_die,death_seems_like_a_way_out,having_dark_thoughts,sometimes_i_just_want_everything_to_end
physical_aches_and_pains,my_body_hurts_all_over,have_constant_aches,everthing_feels_sore,always_in_pain,unexplained_body_pain,feel_physically_uncomfortable_all_the_time,pain_with_no_clear_cause,have_chronic_pain,muscles_and_joint_ache,feel_like_i've_been_hit_by_a_truck
